call_date2,n
2017-02-11,88
2018-10-05,88
2018-12-26,88
2019-01-18,88
2019-02-03,88
2019-02-26,88
2019-03-19,88
2019-09-15,88
2019-11-05,88
2017-08-20,87
2017-12-24,87
2018-12-28,87
2019-02-02,87
2019-03-18,87
2019-03-23,87
2019-04-01,87
2019-04-23,87
2019-09-17,87
2016-07-09,86
2018-09-20,86
2018-09-24,86
2018-09-26,86
2018-09-27,86
2019-06-11,86
2019-11-17,86
2018-05-16,85
2018-10-04,85
2018-11-15,85
2018-12-05,85
2019-02-18,85
2019-03-10,85
2019-03-25,85
2019-04-02,85
2019-08-05,85
2018-06-04,84
2018-11-12,84
2018-12-07,84
2018-12-20,84
2019-04-21,84
2019-05-03,84
2019-06-09,84
2019-06-23,84
2016-11-26,83
2017-01-08,83
2017-06-18,83
2017-12-31,83
2018-09-28,83
2019-01-15,83
2019-02-05,83
2019-03-20,83
2019-09-16,83
2019-10-01,83
2019-10-21,83
2016-11-24,82
2018-07-26,82
2018-09-02,82
2019-03-22,82
2019-05-18,82
2019-07-20,82
2019-09-30,82
2016-09-04,81
2017-10-29,81
2018-11-30,81
2018-12-22,81
2019-02-15,81
2019-03-04,81
2019-04-19,81
2019-05-07,81
2019-05-26,81
2019-09-23,81
2019-10-31,81
2018-07-24,80
2018-08-08,80
2018-10-08,80
2018-11-21,80
2018-12-24,80
2019-07-21,80
2016-07-10,79
2017-05-07,79
2018-10-01,79
2018-11-20,79
2018-11-25,79
2018-12-01,79
2019-05-11,79
2019-10-19,79
2018-09-09,78
2019-01-29,78
2019-02-14,78
2019-04-13,78
2019-05-16,78
2019-06-27,78
2019-08-17,78
2018-09-12,77
2019-01-11,77
2019-01-12,77
2019-02-24,77
2019-03-17,77
2019-04-12,77
2019-07-19,77
2019-10-26,77
2017-01-01,76
2018-08-01,76
2018-09-13,76
2018-10-23,76
2018-10-26,76
2018-11-29,76
2019-02-01,76
2019-02-11,76
2019-03-12,76
2019-04-06,76
2019-05-04,76
2019-06-17,76
2019-08-11,76
2018-07-31,75
2018-09-14,75
2019-02-07,75
2019-05-14,75
2019-08-04,75
2018-07-12,74
2018-07-25,74
2018-09-15,74
2018-12-10,74
2019-09-14,74
2019-10-06,74
2018-05-28,73
2018-10-02,73
2018-11-17,73
2018-12-11,73
2019-11-29,73
2016-12-24,72
2018-05-24,72
2018-07-10,72
2018-07-17,72
2018-07-18,72
2018-08-06,72
2018-09-03,72
2018-09-05,72
2018-09-23,72
2018-11-19,72
2019-01-17,72
2016-12-10,71
2017-11-23,71
2017-12-25,71
2018-09-04,71
2018-09-08,71
2018-09-22,71
2018-10-11,71
2018-11-13,71
2018-12-27,71
2019-01-19,71
2019-02-13,71
2019-04-11,71
2019-06-03,71
2019-06-26,71
2019-09-29,71
2016-11-19,70
2018-06-06,70
2018-07-09,70
2018-08-21,70
2018-08-28,70
2018-09-07,70
2018-09-10,70
2018-09-16,70
2018-11-01,70
2018-12-03,70
2018-12-29,70
2019-03-01,70
2019-06-29,70
2019-07-15,70
2018-09-06,69
2018-10-03,69
2018-10-15,69
2018-10-18,69
2019-01-24,69
2019-02-08,69
2019-06-15,69
2019-10-12,69
2019-11-25,69
2018-05-30,68
2018-06-02,68
2018-06-19,68
2018-07-11,68
2018-09-29,68
2018-10-14,68
2019-10-27,68
2017-06-25,67
2018-07-30,67
2018-08-02,67
2018-08-14,67
2018-08-15,67
2018-08-22,67
2018-08-29,67
2018-09-21,67
2019-02-25,67
2019-03-02,67
2018-06-13,66
2018-08-13,66
2018-10-27,66
2019-05-21,66
2019-06-21,66
2018-05-23,65
2018-11-09,65
2019-01-10,65
2019-02-10,65
2019-02-17,65
2019-03-24,65
2018-05-22,64
2018-07-13,64
2018-09-30,64
2018-10-19,64
2018-11-16,64
2019-03-05,64
2018-07-27,63
2018-08-24,63
2018-11-10,63
2018-12-13,63
2019-01-27,63
2019-06-08,63
2019-10-20,63
2019-11-26,63
2016-12-25,62
2018-06-20,62
2018-08-07,62
2018-08-26,62
2019-01-20,62
2019-05-25,62
2019-10-13,62
2019-11-23,62
2018-06-21,61
2018-06-27,61
2018-08-20,61
2018-11-22,61
2018-11-23,61
2019-01-26,61
2018-08-23,60
2018-09-25,60
2018-10-16,60
2019-03-30,60
2018-06-22,59
2018-10-06,59
2018-12-02,59
2018-12-31,59
2019-01-04,59
2019-01-28,59
2019-02-16,59
2019-06-01,59
2019-09-22,59
2019-09-28,59
2019-11-18,59
2018-05-18,58
2018-08-16,58
2018-08-30,58
2019-08-03,58
2019-11-10,58
2018-05-29,57
2018-07-02,57
2018-10-12,57
2018-10-13,57
2018-11-26,57
2018-12-30,57
2019-01-07,57
2019-02-04,57
2019-02-23,57
2019-03-09,57
2019-08-31,57
2019-11-19,57
2018-05-17,56
2018-06-05,56
2018-06-14,56
2018-06-26,56
2018-11-02,56
2018-11-27,56
2018-12-08,56
2018-06-18,55
2018-08-31,55
2018-10-20,55
2018-10-28,55
2018-12-14,55
2018-12-15,55
2018-12-21,55
2018-12-23,55
2018-12-25,55
2019-01-09,55
2018-06-07,54
2018-07-16,54
2018-07-19,54
2018-11-11,54
2018-05-21,53
2018-05-25,53
2018-05-31,53
2019-01-14,53
2018-07-28,52
2018-11-24,52
2019-01-13,52
2019-02-09,52
2018-06-11,51
2019-01-08,51
2019-11-02,51
2018-06-28,50
2018-07-03,50
2018-07-06,50
2018-08-25,50
2018-08-27,50
2018-10-07,50
2019-11-24,50
2018-05-27,49
2019-11-30,49
2019-03-31,48
2018-05-26,47
2018-07-08,47
2018-11-18,47
2018-05-20,46
2018-06-15,46
2018-08-04,46
2018-09-01,46
2018-07-01,45
2018-05-19,44
2018-07-21,44
2018-08-12,44
2019-01-22,44
2018-06-01,43
2018-07-22,43
2018-10-21,43
2018-06-23,42
2018-12-16,42
2019-01-05,42
2019-03-03,42
2019-11-09,42
2018-07-20,41
2018-11-04,40
2018-06-08,39
2018-06-30,39
2018-07-15,39
2018-08-10,39
2019-11-28,39
2018-08-03,38
2018-08-17,38
2018-06-10,37
2018-07-05,37
2018-07-07,37
2018-06-25,36
2018-06-29,36
2018-06-24,35
2018-08-05,35
2018-07-04,34
2018-06-03,33
2018-06-16,33
2018-08-19,33
2018-08-11,32
2018-07-14,31
2018-07-29,31
2018-06-17,29
2018-12-09,28
2018-08-18,27
2019-01-06,27
2018-06-09,25
2019-06-30,23
2016-03-31,10
