X,Y,OBJECTID,ID,TYPE,SOURCE,LATITUDE,LONGITUDE,DATETIME,AUTOACKNOWLEDGED,INDC,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED
-76.9759999961208,38.9150000031625,62492,5D56127,Multiple_Gunshots,WashingtonDC5D,38.915,-76.976,2015/11/28 09:45:24+00,,,ShotSpotter_62492,{BAC16EC9-2425-4A0B-BB8B-D3A047F543BB},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:32+00
-76.9919999943448,38.8549999976746,62493,7D181112,Multiple_Gunshots,WashingtonDC7D,38.855,-76.992,2015/11/28 14:23:22+00,,,ShotSpotter_62493,{7775A336-DD44-4285-9AAE-235E4B697C72},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:08:40+00
-76.9719999974288,38.8560000031569,62494,7D181115,Multiple_Gunshots,WashingtonDC7D,38.856,-76.972,2015/11/28 20:03:17+00,,,ShotSpotter_62494,{D63D4E30-E371-4D64-B93D-B45FE93E9B2C},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:57+00
-76.9709999959359,38.8540000045875,62495,7D181116,Single_Gunshot,WashingtonDC7D,38.854,-76.971,2015/11/28 20:06:18+00,,,ShotSpotter_62495,{A1F5272A-CD91-4980-ACFC-0C2BB1C7CC4F},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:32+00
-76.9859999946318,38.8260000021213,62496,7D181122,Multiple_Gunshots,WashingtonDC7D,38.826,-76.986,2015/11/28 23:50:11+00,,,ShotSpotter_62496,{A1936C6D-BB5F-4A40-B87E-FB474197FD72},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:36+00
-76.9879999986363,38.8650000042638,62497,7D181123,Multiple_Gunshots,WashingtonDC7D,38.865,-76.988,2015/11/29 00:18:56+00,,,ShotSpotter_62497,{C37E47AF-ED98-4ED6-B86E-E2371EE2393D},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:51+00
-76.9859999967332,38.8640000006043,62498,7D181124,Multiple_Gunshots,WashingtonDC7D,38.864,-76.986,2015/11/29 00:19:00+00,,,ShotSpotter_62498,{ACB1E837-CB56-452D-B123-BE1979B7B209},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:26+00
-76.9770000004192,38.8559999961086,62499,7D181125,Multiple_Gunshots,WashingtonDC7D,38.856,-76.977,2015/11/29 00:19:02+00,,,ShotSpotter_62499,{999D591F-CEF5-44C5-8106-59D4396AD1E7},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:28+00
-76.990000000783,38.8650000034631,62500,7D181126,Multiple_Gunshots,WashingtonDC7D,38.865,-76.99,2015/11/29 00:19:24+00,,,ShotSpotter_62500,{C3F75F36-0C4D-4948-A0A1-586B933331B2},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:30+00
-76.990000000783,38.8650000034631,62501,7D181127,Multiple_Gunshots,WashingtonDC7D,38.865,-76.99,2015/11/29 00:19:52+00,,,ShotSpotter_62501,{FFCED0E0-CDA7-43FC-A4F3-840774008010},JLAY,2021/03/10 21:45:53+00,DCGIS,2021/03/11 03:09:24+00
